Company,Prev Close (Rs),Current Price (Rs),% Change
Capri Global Capital,168.3,183.7,+9.15
Lumax Auto Technolog,86.4,94.3,+9.14
Steel ExchangeIndia,25.75,28.1,+9.13
SRF Ltd.,3605.7,3934.85,+9.13
Dr. Reddy's Labs,3944.95,4302.2,+9.06
Ashok Leyland,46.95,51.2,+9.05
Pearl Global Industr,103.0,112.3,+9.03
Thomas Cook (I),26.6,29.0,+9.02
Emami Ltd.,220.8,240.6,+8.97
Hubtown,10.05,10.95,+8.96
Heritage Foods,259.2,282.35,+8.93
Sterling Tools L,164.7,179.3,+8.86
Ucal Fuel System,110.15,119.85,+8.81
Gujarat Narmada Vall,153.25,166.7,+8.78
Tata Steel BSL,20.5,22.3,+8.78
Chennai Petro.,77.6,84.3,+8.63
Sunflag Iron,37.2,40.4,+8.60
UPL,425.2,461.75,+8.60
EIH Associated,236.55,256.85,+8.58
Sonata Software,238.6,258.9,+8.51
Alpa Laboratories Lt,21.8,23.65,+8.49
Indian Oil Corp,85.35,92.6,+8.49
Axis Bank Ltd.,406.65,440.9,+8.42
Pfizer Ltd.,3963.8,4296.75,+8.40
Manali Petrochem,18.65,20.2,+8.31
Shilpa Medicare L,475.4,514.85,+8.30
Bajaj Finserv Ltd.,5845.15,6328.6,+8.27
Sundaram Fasten.,374.3,405.0,+8.20
Tamilnadu Petroprod,33.2,35.9,+8.13
Hercules Hoists,75.3,81.4,+8.10
Dhunseri Tea & Indus,159.3,172.2,+8.10
Snowman Logistics Lt,29.4,31.75,+7.99
Hind. Composites,155.95,168.4,+7.98
Container Corpor,417.9,450.9,+7.90
Nelco Ltd,194.7,210.05,+7.88
Voltas Ltd.,546.45,589.45,+7.87
Alkyl Amines Che,2107.25,2272.65,+7.85
Kanani Industries Lt,3.85,4.15,+7.79
Bharat Heavy Ele,35.7,38.45,+7.70
Tata Motors Ltd.,98.25,105.75,+7.63
Tata Steel Long Prod,244.0,262.5,+7.58
Control Print Ltd.,198.95,214.0,+7.56
Indian Metal & F,158.85,170.8,+7.52
Shree Digvijay,54.05,58.1,+7.49
Eros International M,18.1,19.45,+7.46
Indian Hume Pipe,159.35,171.2,+7.44
Aegis Logistics Ltd.,176.5,189.6,+7.42
Alembic Pharmaceutic,912.8,980.4,+7.41
NMDC Ltd.,81.15,87.15,+7.39
UltraTech Cement,3893.55,4180.95,+7.38
Amrutanjan Health Ca,361.0,387.6,+7.37
Accelya Solutions In,920.0,987.75,+7.36
Tips Industries,136.15,146.15,+7.34
Banco Products,73.25,78.55,+7.24
Indraprastha Med,51.85,55.6,+7.23
Alkem Laboratories,2368.3,2539.2,+7.22
Emmbi Industries,67.25,72.1,+7.21
D-Link (India),82.65,88.6,+7.20
Supreme Petroche,167.1,179.1,+7.18
JK Cement,1379.0,1477.95,+7.18
SBI,178.45,191.2,+7.14
TRF Ltd,74.75,80.05,+7.09
eClerx Services,446.25,477.75,+7.06
Chemfab Alkalis,129.7,138.8,+7.02
Aarvi Encon,29.9,32.0,+7.02
Brooks Laboratories,30.7,32.85,+7.00
HDFC,1754.65,1877.3,+6.99
Endurance Technologi,870.75,931.5,+6.98
Action Construction,54.45,58.25,+6.98
KSB Ltd,467.15,499.4,+6.90
Godrej Agrovet L,430.8,460.35,+6.86
AXISCADES Engineer,51.15,54.65,+6.84
TeamLease Service,1680.5,1795.15,+6.82
Dredging Corpora,252.05,269.15,+6.78
Indiabulls Real Esta,48.8,52.1,+6.76
Equitas Holdings Ltd,49.55,52.9,+6.76
Dalmia Bharat L,673.3,718.75,+6.75
Vishnu Chemicals,126.55,134.95,+6.64
IndiaMART InterMESH,2325.1,2479.2,+6.63
TCI Express,668.2,712.2,+6.58
Gulshan Polyols Ltd.,34.45,36.7,+6.53
TVS Motor Co. Ltd.,378.35,402.95,+6.50
Ahluwalia Contra,205.7,219.0,+6.47
VIP Indus.,257.65,274.3,+6.46
Sterling and Wilson,219.65,233.85,+6.46
Jai Corp Ltd.,83.95,89.35,+6.43
Cipla,640.25,681.25,+6.40
Divi's Lab,2278.9,2423.65,+6.35
Hind. Zinc,195.95,208.35,+6.33
Superhouse Ltd.,80.9,86.0,+6.30
Oriental Carbon,736.85,783.15,+6.28
TVS Srichakra Lt,1357.95,1442.45,+6.22
Mayur Uniquoters,205.85,218.6,+6.19
Eimco Elecon Ind,293.7,311.85,+6.18
Srikalahasthi Pipes,177.1,188.0,+6.15
Ipca Laboratorie,1674.4,1776.4,+6.09
Bajaj Holdings & Inv,2543.0,2697.85,+6.09
Career Point,138.9,147.15,+5.94
Maruti Suzuki India,5838.3,6185.15,+5.94
ACC,1332.25,1410.95,+5.91
Aster DM Healthcare,123.85,131.15,+5.89
VST Tillers Tr,1325.6,1403.0,+5.84
Berger Paints I,493.9,522.65,+5.82
Reliance Naval,2.6,2.75,+5.77
IDFC L,18.4,19.45,+5.71
Liberty Shoes Li,123.45,130.45,+5.67
DCM Shriram,317.35,335.3,+5.66
ABB Power Products,840.25,887.45,+5.62
Tata Elxsi Ltd.,897.3,947.05,+5.54
The Indian Card Clot,88.8,93.7,+5.52
ICICI Pru Life,425.8,449.25,+5.51
Walchandnagar,50.9,53.7,+5.50
Vishal Fabrics Ltd.,258.0,272.0,+5.43
Sirca Paints India,204.6,215.7,+5.43
Dilip Buildcon Ltd.,272.8,287.45,+5.37
Hind. Petrol,216.75,228.35,+5.35
Bandhan Bank,319.3,336.35,+5.34
Centum Electronics L,297.55,313.4,+5.33
HIL,1165.05,1227.0,+5.32
Sandhar Technologies,195.55,205.95,+5.32
Britannia Ind.,3603.8,3794.7,+5.30
DCB Bank,75.7,79.7,+5.28
Aurobindo Pharma,771.7,811.95,+5.22
TCPL Packaging,266.65,280.5,+5.19
SIL Investments Ltd.,141.1,148.4,+5.17
Mahindra Logistics L,274.7,288.9,+5.17
Aditya Birla Money L,33.95,35.7,+5.15
Arvind SmartSpaces,74.05,77.85,+5.13
Kanoria Chemical,33.25,34.95,+5.11
Madhya Bharat Agro,59.85,62.9,+5.10
Ajanta Pharma Lt,1417.15,1489.3,+5.09
Dabur India,465.95,489.6,+5.08
Strides Pharma Scien,409.6,430.4,+5.08
Shriram Trans.Fi,689.6,724.55,+5.07
Nesco Ltd.,426.2,447.45,+4.99
PSP Projects,389.95,409.05,+4.90
India Tourism De,209.45,219.65,+4.87
Suprajit Enginee,144.45,151.45,+4.85
TPL Plastech Ltd.,111.25,116.65,+4.85
Kajaria Ceramics,392.4,411.2,+4.79
Siemens Ltd.,1096.65,1148.8,+4.76
Fairchem Speciality,564.45,591.3,+4.76
Rollatainers Ltd,2.1,2.2,+4.76
Arman Financial Serv,445.1,465.85,+4.66
Mukta Arts Ltd.,23.65,24.75,+4.65
WelspunInvestments,215.0,225.0,+4.65
Muthoot Capital,366.2,383.15,+4.63
Birla Corporation Lt,578.85,605.6,+4.62
CARE Ratings,419.45,438.7,+4.59
Vishwaraj Sugar Ind,78.75,82.3,+4.51
GHCL,137.3,143.4,+4.44
Lasa Supergenerics,43.9,45.85,+4.44
Kesoram Industri,34.05,35.55,+4.41
National Alumini,31.85,33.25,+4.40
Kaveri Seed Company,573.8,599.0,+4.39
Welspun Corp,79.75,83.25,+4.39
Linde India,613.1,639.95,+4.38
Piramal Enterprises,1363.8,1423.55,+4.38
Crompton Greaves Con,238.65,249.05,+4.36
M M Forgings Ltd.,184.0,192.0,+4.35
Oracle Financial Ser,2863.75,2987.8,+4.33
Amara Raja Batt.,650.4,678.5,+4.32
Nath Bio-Genes,320.6,334.2,+4.24
Sun Pharma.,472.95,493.0,+4.24
Summit Securities,340.05,354.45,+4.23
Nilkamal Ltd.,1142.6,1190.95,+4.23
