Company,% Change
Bharti Infratel Ltd.,-11.29
Kabra Extrusion,-11.2
Nitco Ltd.,-11.11
Gujarat Gas,-11.06
Capacit'e Infraproje,-11.05
Malu Paper Mills,-11.01
Shoppers Stop,-10.91
Prataap Snacks,-10.9
Suzlon Energy Ltd.,-10.89
DCW Ltd.,-10.84
Celebrity Fashions L,-10.78
Jammu & Kashmir Bank,-10.77
Jayant Agro Org,-10.75
Automotive Stampings,-10.71
RSWM Ltd.,-10.63
Euro Multivision Ltd,-10.53
T Nadu Telecom L,-10.53
Skipper Ltd.,-10.47
Kolte-Patil Develope,-10.44
Aditya Birla Capital,-10.43
Ramkrishna Forgings,-10.37
Future Enterprises,-10.3
Cords Cable Industri,-10.29
HG Infra Engineering,-10.29
Kilitch Drugs(I),-10.28
Shirpur Gold Refiner,-10.24
India Cements Lt,-10.21
J Kumar Infraproject,-10.18
Modi Rubber,-10.13
Mahindra CIE Auto,-10.1
Khandwala Securi,-10.1
Palash Securities,-10.07
Bharat Gears,-10.01
Advani Hotels,-10.0
TV Vision,-10.0
Gayatri Highways,-10.0
AMD Industries Ltd.,-9.97
Godfrey Phillips Ind,-9.95
Manaksia Ltd.,-9.93
The Hi-Tech Gears,-9.89
Trent Ltd.,-9.89
Waterbase Ltd.,-9.84
TVS Electronics,-9.82
STL Global Ltd.,-9.78
Suven Life Sciences,-9.78
Hind. NationalGl,-9.77
Jagsonpal Pharma,-9.76
Aarvee Denims an,-9.75
Pioneer Emb.,-9.72
Apex Frozen Foods,-9.65
Prajay Engineers,-9.63
Nagarjuna Fertilizer,-9.57
Zodiac Clothing,-9.57
GSS Infotech,-9.56
IFB Industries,-9.53
CESC Ltd.,-9.45
Standard Indust,-9.43
HLV L,-9.43
Digicontent,-9.38
Asso. Alcohols,-9.37
AYM Syntex,-9.36
Dynacons Systems,-9.36
Parag Milk Foods,-9.34
GOCL Corporation,-9.31
IDBI Bank Ltd.,-9.3
Mawana Sugars Ltd.,-9.29
ITD Cementation Indi,-9.29
Krebs Biochemicals &,-9.25
Jindal Stainless,-9.24
Simbhaoli Sugars,-9.22
Honeywell Automation,-9.2
Somi Conveyor Beltin,-9.2
Indraprastha Gas Ltd,-9.17
MEP Infrastructure,-9.14
Omax Auto,-9.12
Ajmera Realty & Infr,-9.11
Sathavahana Ispa,-9.09
Welspun Enterprises,-8.99
Almondz Global Secur,-8.97
Rajdarshan Indus,-8.97
GNA Axles,-8.97
Shanthi Gears,-8.87
Sarla Performance Fi,-8.82
