Company,% Change
Premier Polyfilm,+ 2.38
Aries Agro Ltd.,+ 2.36
Shrenik L,+ 2.36
Barak Valley Cements,+ 2.35
Peninsula Land L,+ 2.35
IDBI Bank Ltd.,+ 2.30
Chambal Fertilis,+ 2.30
Quess Corp,+ 2.29
Albert David Ltd,+ 2.29
WelspunInvestments,+ 2.27
Summit Securities,+ 2.25
Mold-Tek Packaging,+ 2.24
PNB Housing Finance,+ 2.24
Bajaj Auto Ltd.,+ 2.22
Ganesha Ecosphere,+ 2.20
Maha Rashtra Ape,+ 2.18
BAG Films & Media,+ 2.17
Bal Pharma Ltd,+ 2.12
Dabur India,+ 2.12
Asian Hotels (West),+ 2.09
Cyient Ltd.,+ 2.04
Alembic Pharmaceutic,+ 2.04
Metropolis Healthcar,+ 2.03
TPL Plastech Ltd.,+ 2.01
Future Consumer,+ 2.00
Bharat Heavy Ele,+ 1.99
Sagar Cements,+ 1.99
Tasty Bite,+ 1.98
Maruti Suzuki India,+ 1.97
S Chand & Company,+ 1.94
Sterling Tools L,+ 1.93
Usha Martin Ltd.,+ 1.93
Bharat Dynamics,+ 1.92
Sterling and Wilson,+ 1.90
Reliance Inds.,+ 1.89
Shreyans Inds.,+ 1.87
Cummins India Lt,+ 1.87
FDC Ltd.,+ 1.83
Grand Foundry,+ 1.82
Hester Biosciences L,+ 1.81
Cords Cable Industri,+ 1.80
Alkem Laboratories,+ 1.77
Mazda Ltd.,+ 1.76
Accelya Solutions In,+ 1.75
IndiaMART InterMESH,+ 1.73
State Trading,+ 1.71
Federal-Mogul Goetze,+ 1.70
Adani Transmission L,+ 1.69
Phoenix Mills,+ 1.68
Tata Chemicals,+ 1.68
Gujarat Narmada Vall,+ 1.68
Welspun Corp,+ 1.65
Apollo Sindoori Hote,+ 1.64
LG Balakrishnan&Bros,+ 1.63
Hind. Composites,+ 1.63
Zydus Wellness Ltd.,+ 1.52
NHPC,+ 1.49
MOIL Ltd.,+ 1.48
Pioneer Emb.,+ 1.47
ICICI Lombard Gen.,+ 1.47
Cipla,+ 1.46
Texmaco Infrastructu,+ 1.45
Nalwa Sons Investmen,+ 1.45
Filatex India,+ 1.43
Adani Power Ltd.,+ 1.42
Man Infraconstructio,+ 1.39
Gufic BioSciences Lt,+ 1.39
Prince Pipes & Fitti,+ 1.38
Torrent Pharmac,+ 1.37
Ruchi Soya Inds.,+ 1.36
Techno Electric&Eng,+ 1.34
VST Tillers Tr,+ 1.29
Aarvi Encon,+ 1.27
Hindalco Indus.,+ 1.27
South West Pinnacle,+ 1.25
Intellect Design,+ 1.22
Ceat Ltd.,+ 1.22
IIFL Wealth Manage,+ 1.22
Jindal Photo,+ 1.21
Inventure Growth & S,+ 1.18
Super Spinning,+ 1.16
Kilitch Drugs(I),+ 1.14
Kalyani Steel,+ 1.14
Vinati Organics,+ 1.13
Kotak Mahindra Bank,+ 1.12
GRP L,+ 1.11
VST Industries,+ 1.11
Divi's Lab,+ 1.09
AMD Industries Ltd.,+ 1.08
Jubilant Industries,+ 1.08
SPL Industries L,+ 1.07
Greenply Industr,+ 1.06
Websol Energy System,+ 1.04
Next Mediaworks,+ 1.02
Healthcare Global En,+ 1.00
GlaxoSmithKline Phar,+ 0.99
Neogen Chemicals,+ 0.98
Bajaj Holdings & Inv,+ 0.97
BSE,+ 0.95
Astral Poly Technik,+ 0.92
Hindustan Unilever L,+ 0.90
NMDC Ltd.,+ 0.87
Suprajit Enginee,+ 0.87
Steel Authority,+ 0.85
Krishana Phoschem,+ 0.84
Jindal Stainless (Hi,+ 0.84
Apollo Tyres,+ 0.82
Shree Cement,+ 0.81
Manappuram Finance,+ 0.80
Granules India L,+ 0.75
Garware Tech. Fibres,+ 0.74
BF Investment Ltd.,+ 0.73
