Company,% Change
Marsons Ltd.,-7.72
Onward Technolog,-7.67
Kwality,-7.65
Regent Enterprises,-7.64
GeeCee Ventures,-7.61
Muthoot Finance,-7.61
Adinath Textile,-7.6
Bajaj Consumer Care,-7.6
Hind. Petrol,-7.54
National Fertilizers,-7.46
Jinaams Dress,-7.46
VirtualSoft Systems,-7.43
Paushak Ltd.,-7.39
Vista Pharmaceut,-7.38
Veljan Denison,-7.38
Mauria Udyog,-7.36
Zodiac Clothing,-7.21
Tin Plate Co.,-7.18
Stanrose Mafatla,-7.16
Future Consumer,-7.15
Indo Tech Transforme,-7.12
Medinova Diagnostic,-7.04
Healthcare Global En,-7.01
Tiaan Ayurvedic & He,-7.0
Simplex Infrastructu,-6.99
Mahip Industries,-6.98
Bharat Rasayan,-6.93
JK Cement,-6.9
Au Small Finance Ban,-6.9
Oswal Agro Mills,-6.89
Manaksia Steels,-6.86
Orient Green Power C,-6.85
IIFL Wealth Manage,-6.83
MRF Ltd,-6.83
Lloyds Steels Ind.,-6.82
Super Spinning,-6.82
Riba Textiles Li,-6.8
Amrapali Inds.,-6.79
Spandana Sphoorty Fi,-6.73
Country Condo's,-6.72
Bharti Airtel,-6.69
Bharat Dynamics,-6.67
Arnold Holdings,-6.65
Trident Ltd.,-6.62
Krebs Biochemicals &,-6.6
Rashtriya Chemicals,-6.58
Imagicaaworld Entert,-6.56
A-1 Acid,-6.51
Punj Lloyd,-6.51
Gammon Infrastructur,-6.49
Dhruv Estates Lt,-6.46
Gravity (India),-6.45
Artemis Medicare,-6.45
Jupiter Infomedia Lt,-6.43
ACC,-6.42
Syschem (India),-6.41
Amrit Corp. Ltd.,-6.41
Tainwala Chem.,-6.39
Nahar Poly Films Ltd,-6.37
Lokesh Machines,-6.36
Vipul Organics,-6.35
PNB Gilts Ltd.,-6.33
Eris Lifesciences,-6.31
Colgate Palm.,-6.3
Digjam L,-6.25
Glittek Granites,-6.25
Chambal Fertilis,-6.21
Joonktollee Tea,-6.2
Oriental Aromatics,-6.19
Coromandel Internati,-6.12
Delton Cables,-6.12
T & I Global Lim,-6.11
Modex Internatio,-6.07
Nettlinx Ltd.,-6.01
Valson Ind. Ltd.,-6.01
Mayur Leather Pr,-5.99
Sree Rayalaseema Hi-,-5.97
Alkem Laboratories,-5.95
Lasa Supergenerics,-5.95
KCP Ltd.,-5.89
Chennai Petro.,-5.85
Aditya Consumer Mark,-5.81
Britannia Ind.,-5.8
Dolat Investment,-5.8
Dishman Carbogen Amc,-5.79
Xpro India Ltd.,-5.78
Mahanagar Gas,-5.78
CARE Ratings,-5.77
Torrent Pharmac,-5.76
Manappuram Finance,-5.75
Borosil Renewables,-5.68
Bharat Bhushan Fin.,-5.62
Ram Minerals & Chemi,-5.56
Oil Country Tub.,-5.53
Zydus Wellness Ltd.,-5.49
M K Exim (India) L,-5.48
Sylph Technologies L,-5.48
TRF Ltd,-5.46
Phyto Chem (Indi,-5.46
Dr. Reddy's Labs,-5.43
Bosch Ltd.,-5.42
Shree Hari Chem.,-5.39
Vama Industries Ltd.,-5.34
Gensol Engineering,-5.34
Ugro Capital,-5.31
HDFC Life Insurance,-5.3
Apollo Hospitals,-5.29
Bank of Baroda,-5.26
Mohit Industries,-5.25
De Nora India Ltd.,-5.23
Sequent Scientific,-5.2
Dabur India,-5.15
FDC Ltd.,-5.14
Ambuja Cements Ltd.,-5.12
Universal Starch,-5.1
GE Power India,-5.05
ICICI Lombard Gen.,-5.04
NACL Industries L,-5.02
MSTC Ltd.,-5.0
RSD Finance,-5.0
Tide Water Oil,-4.98
Rapicut Carbides,-4.96
Anik Industries,-4.96
Khaitan Chemical,-4.92
Athena Global Techno,-4.92
Mercator Ltd.,-4.85
Mahalaxmi Rubtec,-4.84
Albert David Ltd,-4.84
Godrej Consumer Prod,-4.83
