Company,% Change
Vascon Engineers Ltd,-1.21
Zydus Wellness Ltd.,-1.2
Astec Lifesciences L,-1.19
National Alumini,-1.19
Crisil,-1.18
Jindal Photo,-1.18
Mahindra Logistics L,-1.18
PPAP Automotive,-1.17
Ruby Mills,-1.17
AYM Syntex,-1.16
B C Power Controls L,-1.16
Hind. Zinc,-1.16
Indo Count Inds.,-1.16
Panama Petrochem,-1.16
Tech Mahindra,-1.16
Titan Company,-1.16
Agro Tech Foods Ltd.,-1.15
Crompton Greaves Con,-1.15
Mangalam Cement,-1.15
Revathi Equipment Lt,-1.15
ADF Foods Ltd.,-1.14
Krebs Biochemicals &,-1.14
Phillips Carbon,-1.14
GE T&D India,-1.13
Insecticides (India),-1.13
Hitech Corporation,-1.12
Indo National,-1.12
Asian Paints Ltd.,-1.11
Maha. Seamless,-1.11
Titagarh Wagons Ltd.,-1.11
Artemis Medicare,-1.1
Lumax Auto Technolog,-1.1
Power Mech Projects,-1.1
Atlanta Ltd.,-1.09
Balrampur Chini,-1.09
Rane Engine Valve Lt,-1.09
Adani Ports & Speci,-1.08
Tilaknagar Industrie,-1.08
HDFC,-1.06
Great Eastern,-1.05
JK Cement,-1.05
Oracle Financial Ser,-1.05
Plastiblends Ind,-1.05
R Systems Internat.,-1.04
Shiva Texyarn Ltd.,-1.04
Alchemist,-1.03
T T Ltd.,-1.01
Apcotex Industries L,-1.0
Aavas Financiers,-0.98
Ceat Ltd.,-0.98
One Point One Soluti,-0.98
The Hi-Tech Gears,-0.98
Vesuvius India,-0.98
KCP Ltd.,-0.97
Emmbi Industries,-0.96
Poddar Pigments,-0.96
Quick Heal Technolog,-0.96
Shankara Building Pr,-0.96
Shoppers Stop,-0.96
Havells India,-0.95
Max Financial Servic,-0.95
Quess Corp,-0.95
Twentyfirst Cent,-0.95
BF Utilities Ltd.,-0.94
JM Financial Ltd.,-0.94
United Breweries Ltd,-0.94
Bhagyanagar Properti,-0.93
Hexaware Technologie,-0.93
DLF Ltd.,-0.92
GNA Axles,-0.92
Kansai Nerolac Paint,-0.92
Infosys,-0.9
DCW Ltd.,-0.89
I G Petrochemicals,-0.89
Raj Television Netwo,-0.89
UFO Moviez India Ltd,-0.89
Hind.ConstructionCo.,-0.88
Indiabulls Housing F,-0.88
SBI Cards and Pay,-0.88
TCI Developers Ltd.,-0.88
Bajaj Holdings & Inv,-0.86
HDFC AMC,-0.86
Indian Oil Corp,-0.86
Sequent Scientific,-0.86
Tainwala Chem.,-0.86
IFB Agro Indus,-0.85
Tokyo Plast Inte,-0.85
CARE Ratings,-0.84
Magadh Sugar & Energ,-0.84
Control Print Ltd.,-0.83
APL Apollo Tubes,-0.82
Birla Cable,-0.82
Safari Indus.,-0.82
Birlasoft,-0.81
Dwarikesh Sugar,-0.81
TVS Motor Co. Ltd.,-0.81
Biocon,-0.8
CL Educate,-0.8
Linde India,-0.8
Nahar Indust.Ent,-0.8
Paramount Commun,-0.8
Shanthi Gears,-0.8
Carborundum Uni.,-0.79
Gujarat Apollo Indus,-0.79
Shree Cement,-0.79
Kalpataru Power,-0.78
Maha. Scooters,-0.78
Time Technoplast Ltd,-0.78
Timken India Ltd,-0.78
Vedanta,-0.77
Mahindra Lifespace D,-0.76
Zen Technologies Ltd,-0.76
Ind. Inv Trust,-0.75
Megasoft Ltd.,-0.75
Parag Milk Foods,-0.74
S H Kelkar & Company,-0.74
Asian Granito India,-0.73
Essar Shipping,-0.72
D B Realty Ltd.,-0.71
Eveready Industr,-0.71
GujaratStatePetronet,-0.71
HIL,-0.71
India Nippon Ele,-0.71
Jubilant Foodworks L,-0.71
Orient Bell,-0.71
Pitti Engineering,-0.71
Varun Beverages Ltd.,-0.71
Dhanuka Agritech Ltd,-0.7
M&M Fin.Services,-0.7
Elgi Equipments,-0.69
IZMO,-0.69
Liberty Shoes Li,-0.69
Alkali Metals Ltd.,-0.68
Emami Ltd.,-0.68
Ponni Sugars (Erode),-0.66
SMS Pharmaceuticals,-0.66
Salzer Electr.,-0.66
Tata Motors Ltd.,-0.66
HG Infra Engineering,-0.65
JMC Projects,-0.65
Kiri Industries,-0.65
AXISCADES Engineer,-0.64
Bajaj Auto Ltd.,-0.64
Cera Sanitaryware L,-0.64
J Kumar Infraproject,-0.64
Jocil Ltd.,-0.64
L&T Infotech,-0.63
MRF Ltd,-0.63
ICICI Pru Life,-0.62
M M Forgings Ltd.,-0.62
Pioneer Distille,-0.62
Pioneer Emb.,-0.62
California Softw,-0.61
RS Software (India),-0.61
Page Industries Ltd.,-0.6
Dalmia Bharat L,-0.59
Dredging Corpora,-0.59
KEC International Lt,-0.59
Orient Electric,-0.59
Cybertech System,-0.58
EIH Ltd.,-0.58
Jyothy Labs,-0.58
Schaeffler India,-0.58
AIA Engineering,-0.57
Everest Industries L,-0.57
Allsec Technologies,-0.56
SMS Lifesciences Ind,-0.56
The Anup Engineering,-0.56
Hercules Hoists,-0.55
RPP Infra Projects L,-0.55
Aarti Ind. Ltd,-0.54
Gulshan Polyols Ltd.,-0.54
KNR Constructions,-0.54
PNC Infratech,-0.54
Goodluck India,-0.53
Orissa Minerals Deve,-0.53
Force Motors,-0.52
Ambuja Cements Ltd.,-0.51
BASF India Lt,-0.51
Eros International M,-0.51
Swaraj Engines,-0.51
Geekay Wires,-0.5
Hindustan Unilever L,-0.5
InterGlobe Aviation,-0.5
Minda Industries,-0.5
ONGC,-0.5
Maheshwari Logist,-0.49
Vaibhav Global,-0.49
GP Petroleums,-0.48
Sreeleathers Ltd.,-0.48
Alkyl Amines Che,-0.47
Honeywell Automation,-0.47
The New India Assur,-0.47
Container Corpor,-0.46
Gillette India Ltd.,-0.46
Kalyani Investment,-0.46
Lumax Inds.,-0.46
Superhouse Ltd.,-0.46
Amber Enterprises,-0.45
Arvind SmartSpaces,-0.45
Hatsun Agro Prod,-0.45
NTPC,-0.45
Sterling and Wilson,-0.45
Globus Spirits Ltd.,-0.44
Lokesh Machines,-0.44
TV18 Broadcast,-0.44
HDFC Life Insurance,-0.43
HUDCO,-0.43
Kirloskar Industries,-0.43
Pfizer Ltd.,-0.42
TCI Express,-0.41
TCI Ltd.,-0.41
Bombay Dyeing,-0.4
Healthcare Global En,-0.4
TD Power Systems Ltd,-0.4
Tera Software,-0.4
VIP Indus.,-0.4
Vinati Organics,-0.4
Affle (India),-0.39
Hindalco Indus.,-0.39
Indoco Remedies,-0.39
Jagran Prakashan,-0.39
Shalby,-0.39
NRB Bearings Lim,-0.38
Nitin Spinners,-0.38
Butterfly Gandhima,-0.37
Guj. Mineral Dev,-0.37
Rico Auto Inds.,-0.37
Sagardeep Alloys,-0.37
