Company,% Change
Navkar Builders,-9.75
Ganesha Ecosphere,-9.74
Archidply Industries,-9.72
Dolphin Medical,-9.72
Gopala Polyplast,-9.71
MosChip Technologies,-9.71
Canara Bank,-9.71
Intense Technologies,-9.7
Modern India,-9.69
Kriti Nutrients,-9.69
T. Spiritual World,-9.68
AVI Products India,-9.67
WelspunInvestments,-9.66
Mangalam Timber,-9.66
Thakker's Develo,-9.66
Sadbhav Infrastructu,-9.65
Phyto Chem (Indi,-9.64
AVT Natural Prod,-9.64
Ahluwalia Contra,-9.64
Jauss Polymers L,-9.61
Indo Amines Limi,-9.6
Best Agrolife,-9.59
Kilpest India Lt,-9.58
M M Rubber Company,-9.57
Shirpur Gold Refiner,-9.57
Ashiana Housing Ltd.,-9.55
PTL Enterprises,-9.54
Ponni Sugars (Erode),-9.53
Nahar Spg Mills,-9.53
Golkonda Aluminium,-9.52
KNR Constructions,-9.52
Raj Television Netwo,-9.52
Akashdeep Metal Ind.,-9.52
Panafic Industrials,-9.52
Lyka Labs,-9.48
Nandan Denim,-9.48
Nexus Commoditie,-9.48
India Finsec Ltd.,-9.47
V Mart Retail,-9.47
Bharat Gears,-9.46
Khadim India,-9.46
Emami Paper Mill,-9.43
Apollo Tyres,-9.43
Take Solutions Ltd.,-9.43
Machino Plastics,-9.42
LKP Securities,-9.42
Shervani Ind.Syn,-9.41
Bharat Immunolog,-9.4
Empire Inds.,-9.4
Grand Foundry,-9.39
Anjani Foods,-9.38
Metalyst Forgings,-9.37
7NR Retail Ltd.,-9.36
Panth Infinity,-9.35
Weizmann,-9.34
Refnol Resins &,-9.32
Universal Starch,-9.32
Bank of Maharash,-9.32
Continental Petr,-9.32
Punj. NationlBak,-9.31
Bombay Dyeing,-9.31
Dredging Corpora,-9.3
Basant Agro Tech,-9.3
Scan Steels,-9.29
HIM Teknoforge,-9.28
Paisalo Digital L,-9.27
Nila Infrastructures,-9.25
Country Club Hospita,-9.25
Dynamatic Techno,-9.24
Equitas Holdings Ltd,-9.24
DCW Ltd.,-9.23
Nath Bio-Genes,-9.22
Suraj Products Ltd.,-9.2
The Indian Wood Prod,-9.19
Great Eastern,-9.19
Remsons Industri,-9.19
DQ Entertainment (In,-9.15
Smartlink Holdings,-9.15
Deep Industries,-9.15
Nectar Lifesciences,-9.13
Indoco Remedies,-9.13
Indowind Energy Ltd.,-9.12
G G Dandekar Machine,-9.12
Hind. Flurocarbo,-9.09
Mauria Udyog,-9.09
ABM Knowledgeware,-9.08
North Eastern Carry,-9.06
Ganges Securities,-9.06
Astron Paper & Board,-9.05
Hathway Bhawani Cabl,-9.05
Camlin Fine Sciences,-9.02
ICICI Bank,-9.02
Network 18 Media & I,-9.01
GOCL Corporation,-9.01
Himatsingka Seid,-9.01
Shankara Building Pr,-9.0
Dutron Polymers,-9.0
Calcom Vision,-9.0
Ravileela Granites,-8.99
Aayush Food & Herbs,-8.97
D B Realty Ltd.,-8.97
Texmaco Rail & Engin,-8.95
Birla Tyres,-8.95
Parnax Lab L,-8.95
Orient Press Ltd,-8.93
Vasundhara Rasayans,-8.93
Netripples Software,-8.92
HT Media,-8.92
Shri Niwas Leasing,-8.91
Avanti Feeds Lim,-8.9
Dalal Street Inv,-8.89
Capacit'e Infraproje,-8.89
Rishabh Digha St,-8.88
RTS Power Corpor,-8.87
Uniply Decor,-8.84
Wockhardt Ltd.,-8.83
Libord Finance Ltd.,-8.82
Man Infraconstructio,-8.81
Gokul Refoils & Solv,-8.81
Music Broadcast,-8.81
Superior Industrial,-8.79
SundaramBrakeLining,-8.79
Kohinoor Foods Ltd.,-8.79
Coromandel Internati,-8.78
RattanIndia Power,-8.77
Dhanlaxmi Bank,-8.77
JTEKT India,-8.76
MBL Infrastructures,-8.76
Jai Corp Ltd.,-8.75
Apollo Micro Systems,-8.75
Ruby Mills,-8.74
Rane Holdings Ltd.,-8.74
HOV Services Ltd.,-8.73
Asian Tea Export,-8.72
Helpage Finlease,-8.72
Cravatex,-8.72
Facor Alloys Ltd.,-8.7
Reliance Capital,-8.69
S P Apparels Ltd.,-8.69
Anant Raj Ltd.,-8.69
Agarwal Industrial C,-8.66
Everest Industries L,-8.66
HB Portfolio,-8.66
Modulex Construction,-8.64
Prism Johnson,-8.63
Bedmutha Industries,-8.63
Adhunik Industries,-8.63
Zenotech Laboratorie,-8.62
Filatex Fashions,-8.61
Ramky Infrastructure,-8.61
Elecon Engg.,-8.58
Sanghi Industrie,-8.58
Rathi Bars Ltd.,-8.58
Jenburkt Pharmac,-8.57
Kothari Products,-8.53
M M Forgings Ltd.,-8.51
Triveni Turbine,-8.5
Spencer's Retail,-8.49
Praj Industries,-8.48
Time Technoplast Ltd,-8.47
Parabolic Drugs Ltd.,-8.47
Rane Engine Valve Lt,-8.47
Mahindra Logistics L,-8.45
Subex Ltd.,-8.45
Anupam Finserv,-8.45
Ajanta Soya Ltd.,-8.44
HG Infra Engineering,-8.44
H S India L,-8.42
Suven Life Sciences,-8.42
Educomp Solutions,-8.42
CESC Ventures,-8.4
Tourism Finance,-8.4
Hind. Composites,-8.38
Umiya Tubes Ltd.,-8.38
GTN Textiles,-8.38
Ruchi Soya Inds.,-8.38
Competent Automo,-8.37
Titaanium Ten Enterp,-8.36
Shree Pushkar Chemic,-8.35
Lancer Container Lin,-8.34
Eco Recycling,-8.33
UFO Moviez India Ltd,-8.33
TD Power Systems Ltd,-8.32
Dynamic Industri,-8.31
Pil Italica Lifestyl,-8.3
Shilpa Medicare L,-8.3
Gufic BioSciences Lt,-8.28
Pritish Nandy Comm.,-8.28
G S Auto Interna,-8.27
Mangalam Seeds,-8.27
TPL Plastech Ltd.,-8.26
Balaji Telefilms Ltd,-8.25
Coral India Finance,-8.24
BDH Industries,-8.23
Menon Bearings L,-8.21
Ajmera Realty & Infr,-8.2
Sakuma Exports,-8.19
Karur Vysya Bank,-8.19
Somany Home Innovat,-8.19
Inspirisys Solutions,-8.18
Vama Industries Ltd.,-8.16
Billwin Industries L,-8.16
Amin Tannery L,-8.14
Aurionpro Solutions,-8.14
Ujjivan Financial,-8.14
India Tourism De,-8.14
United Credit Li,-8.13
Nitco Ltd.,-8.13
Welcast Steels,-8.11
Aptech Ltd.,-8.11
Jubilant Industries,-8.1
Apar Industries,-8.1
DIC India,-8.1
Indo Rama Synth.,-8.09
Punj. & Sind Ban,-8.09
SBI,-8.09
Sukhjit Starch &,-8.08
Terai Tea Compan,-8.08
Guj. Alkalie & C,-8.08
Reliance Home Fin,-8.07
Future Market Net,-8.07
Patel Engg. Ltd.,-8.06
Mahanagar Gas,-8.06
Steel ExchangeIndia,-8.06
Sterlite Technologie,-8.05
National Plywood Ind,-8.05
Aban Offshore,-8.04
KM Sugar Mills,-8.04
Mawana Sugars Ltd.,-8.01
Signet Industries,-8.01
Alphageo (India),-8.01
Super Crop Safe,-8.0
Sulabh Eng.&Ser.,-8.0
Talwalkars Better Va,-8.0
EIH Associated,-7.98
Ujjivan SmallFinance,-7.97
Conart Engineers,-7.96
Artemis Electricals,-7.95
Alok Industries Ltd.,-7.95
Triton Valves,-7.94
Indian Bank,-7.92
Graphite India Ltd.,-7.91
Bharat Dynamics,-7.91
ITD Cementation Indi,-7.91
Mahindra CIE Auto,-7.91
Celebrity Fashions L,-7.91
Page Industries Ltd.,-7.9
Entertainment Networ,-7.9
L&T Finance Holdings,-7.9
Mahavir Industries,-7.89
Suryachakra Power Co,-7.89
Asso. Alcohols,-7.89
Welspun Enterprises,-7.88
Sanwaria Consumer,-7.86
Kitex Garments,-7.86
Alkali Metals Ltd.,-7.86
Sun Pharma Advanced,-7.86
Delta Corp Ltd.,-7.85
Lehar Footwears,-7.85
Sun Pharma.,-7.83
Mac Charles,-7.83
Creative Casting,-7.78
Arfin India,-7.78
TCI Finance,-7.77
Golkunda Diamond,-7.77
Sadbhav Engineering,-7.76
POCL Enterprises,-7.76
Sanghvi Movers L,-7.75
Welcon International,-7.75
Bosch Ltd.,-7.71
CeejayFinance,-7.7
Sahyadri Industries,-7.68
Ram Ratna Wires,-7.68
Jindal Photo,-7.67
Reliable Ventures In,-7.66
Ishita Drugs & I,-7.66
Super Tannery,-7.64
Security and Intelli,-7.63
NRB Bearings Lim,-7.63
Bank of India,-7.61
Punj Lloyd,-7.6
Meenakshi Enterprise,-7.6
GMR Infrastructure L,-7.59
Rane Brake Lining Lt,-7.59
IDBI Bank Ltd.,-7.58
63 Moons Technologie,-7.58
Golden Tobacco Ltd.,-7.57
LT Foods Ltd.,-7.56
Uttam Value Steels,-7.55
Maral Overseas,-7.54
Reliance Infrastruct,-7.53
Hariyana Ship-Br,-7.52
Tamilnadu Petroprod,-7.52
India Nippon Ele,-7.51
Pee Cee Cosma,-7.51
Shalby,-7.5
Tatia Global Venntur,-7.5
V2 Retail,-7.5
Chandni Textiles Eng,-7.46
Vakrangee,-7.46
Deccan Cements,-7.45
Compucom Softwr,-7.45
Investment & Pre,-7.43
Mahindra EPC Irrigat,-7.43
Setco Automotive,-7.41
Integra Engineering,-7.39
Premier Explos.,-7.39
SREI Infrastructure,-7.38
Waterbase Ltd.,-7.38
Sandesh,-7.36
Bigbloc Construction,-7.35
BSEL Infra. Realty,-7.34
Tata Chemicals,-7.33
Kilitch Drugs(I),-7.33
Asian Hotels (West),-7.31
Intellect Design,-7.31
Cochin Shipyard,-7.31
