Company,% Change
Hindoostan Mills,+2.81
Saptarishi Agro,+2.80
Firstobject Technolo,+2.74
IMP Powers,+2.72
ObjectOne Inform,+2.71
Wall Street Fina,+2.68
Century Plyboards,+2.63
Majestic Research Se,+2.63
Vivimed Labs,+2.61
Rossari Biotech,+2.61
CreditAccess Grameen,+2.60
Transcorp Inter,+2.58
Anuh Pharma Ltd,+2.56
Maximaa Systems,+2.55
Bombay Rayon Fashion,+2.54
Simmonds Marshal,+2.50
Spicejet Ltd.,+2.48
Digicontent,+2.48
Trescon L,+2.47
Kushal L,+2.47
Xelpmoc Design and T,+2.43
Jindal Poly Investme,+2.41
Torrent Pharmac,+2.41
Rexnord Electron,+2.40
Twentyfirst Cent,+2.37
Tata Consultancy,+2.35
TCM Ltd.,+2.35
L&T Technology Serv,+2.34
Bhagyanagar India Lt,+2.33
Real Touch Finance,+2.32
Prima Agro Ltd.,+2.31
P G Industry Ltd,+2.26
Max Healthcare Inst.,+2.26
Garware Tech. Fibres,+2.21
Blue Dart Expres,+2.20
Cranex Ltd,+2.20
Titan Company,+2.19
Ind Bank Housing,+2.16
Rishiroop L,+2.15
National Plastic,+2.14
Valiant Organics,+2.14
Phillips Carbon,+2.14
TTK Prestige L,+2.13
Tarai Foods Limi,+2.10
Shiva Cement Ltd,+2.09
Timken India Ltd,+2.07
Triveni Eng.&Ind.Ltd,+2.02
Ram Minerals & Chemi,+2.00
Asahi Songwon Colors,+2.00
Surana Solar,+2.00
Godrej Properties Lt,+1.96
KPT Industries,+1.93
Stanrose Mafatla,+1.92
VIP Clothing,+1.90
Hawa Engineers L,+1.89
Accelya Solutions In,+1.85
W H Brady & Co.,+1.83
Speciality Restauran,+1.82
Jubilant Life Scienc,+1.80
Brooks Laboratories,+1.79
Stylam Industries,+1.75
Godavari Drugs,+1.73
Dhunseri Ventures,+1.73
Indo Thai Securities,+1.72
Bengal & Assam Compa,+1.71
Syschem (India),+1.70
Global Capital Mark,+1.69
Eimco Elecon Ind,+1.68
Dhoot Industrial,+1.67
JM Financial Ltd.,+1.66
Grandeur Products,+1.64
Bannari Amman Spinni,+1.63
SVP Global Ventures,+1.60
Vivanta Industries,+1.59
Cantabil Retail Indi,+1.58
Cubex Tubings Lt,+1.57
Foods & Inns,+1.56
Nitin Fire Protectio,+1.56
Laurus Labs,+1.55
Gayatri Projects,+1.55
Swastika Investmart,+1.54
Margo Finance,+1.53
Vippy Spinpro,+1.52
Ducon Infratech,+1.52
Wipro Ltd,+1.49
ADF Foods Ltd.,+1.46
ASM Technologies Ltd,+1.43
NCL Industries,+1.39
FIEM Industries,+1.38
Ortin Laborator.,+1.37
MindTree Ltd.,+1.36
Coral Labs.,+1.35
Regency Investments,+1.33
Venky's (India) Ltd.,+1.31
Premier Synth.,+1.31
SKM Egg Produc,+1.31
Maruti Suzuki India,+1.30
Maxheights Infra,+1.30
Simbhaoli Sugars,+1.29
GRM Overseas,+1.28
PVV Infra,+1.27
Guj. Amb.Exports,+1.26
Thirani Projects,+1.25
Galaxy Bearings,+1.21
Capital Trust Lt,+1.17
Damodar Industries,+1.16
Suncare Traders,+1.14
Wonderla Holidays Lt,+1.12
Fomento Resorts,+1.12
Mewar Hi-Tech Engine,+1.11
Rama Paper Mills,+1.11
Richa Industries Ltd,+1.11
WABCO India,+1.10
