Company,% Change
Capacit'e Infraproje,+24.75
Apcotex Industries L,+24.67
Alicon Castalloy,+24.64
Repco Home Finance L,+24.59
NRB Industrial Beari,+24.55
Blue Star,+24.54
Yash Pakka,+24.53
Futuristic Sec.,+24.40
Inox Leisure,+24.38
Mazda Ltd.,+24.37
Talbros Engineering,+24.36
Parabolic Drugs Ltd.,+24.34
Shiva Texyarn Ltd.,+24.23
Tata Motors Ltd.,+24.06
Lakshmi Auto Lm.,+24.00
Som Distilleries,+23.99
Educomp Solutions,+23.84
Ashiana Agro Ind,+23.81
Gabriel India,+23.81
Kopran Ltd,+23.79
Paramount Commun,+23.65
SAL Steel,+23.64
Indian Terrain Fashi,+23.58
Thomas Scott (India),+23.49
Zenlabs Ethica,+23.47
Kesoram Industri,+23.43
Saboo Sodium Ch,+23.36
Century Plyboards,+23.35
Beardsell Ltd.,+23.33
Neuland Laborat,+23.18
V2 Retail,+23.12
Astec Lifesciences L,+23.11
Shanthi Gears,+23.00
IIFL Finance,+22.95
Sumeet Industrie,+22.94
Entertainment Networ,+22.91
PVR Ltd.,+22.89
Creative Casting,+22.82
Brooks Laboratories,+22.65
Precision Wires,+22.57
Tube Investments,+22.50
Visagar Financial,+22.41
KPT Industries,+22.39
Bilcare Ltd.,+22.25
Binny Ltd.,+22.25
Vaarad Ventures,+22.19
Ador Fontech Ltd,+22.19
Techindia Nirman Ltd,+22.18
Next Mediaworks,+22.18
Hitech Corporation,+22.15
JSW Energy Ltd.,+22.12
Swelect Energy Syste,+22.11
Vindhya Telelink,+22.09
Joindre Capital,+22.08
Aarvee Denims an,+22.07
Stylam Industries,+22.07
Dhunseri Tea & Indus,+22.04
Capital India Fin,+21.88
Allsec Technologies,+21.88
CESC Ventures,+21.85
Cheviot Co Ltd,+21.84
Aditya Birla Capital,+21.83
Somany Ceramics Ltd.,+21.82
CSL Finance,+21.74
Sahara Housingfina C,+21.71
Jyoti Resins & A,+21.61
Saptarishi Agro,+21.58
Ashika Credit Cap.,+21.55
Nicco Parks & Re,+21.43
PMC Fincorp,+21.43
Commercial Syn Bags,+21.40
Sun TV Network Ltd.,+21.40
Aarti Drugs Ltd,+21.39
RRIL,+21.30
SV Global Mill Ltd.,+21.30
Chalet Hotels L,+21.26
PNC Infratech,+21.23
FAZE THREE Autofab,+21.22
Kabra Extrusion,+21.19
Yashraj Containeurs,+21.15
Minda Industries,+21.05
Mahindra CIE Auto,+21.02
Allcargo Logistics,+21.01
Mehai Technololgy,+20.97
TCPL Packaging,+20.94
IndusInd Bank,+20.94
Alchemist,+20.77
Cravatex,+20.76
Emkay Global Financi,+20.74
Continental Petr,+20.68
Indian Toners,+20.65
Godrej Industries Lt,+20.58
Virat Crane Indu,+20.57
KNR Constructions,+20.54
Surya Roshni Ltd,+20.53
CL Educate,+20.51
Barak Valley Cements,+20.48
JSW Holdings,+20.46
OK Play India Ltd.,+20.42
Sutlej Textiles & In,+20.37
Muthoot Capital,+20.36
VMS Industries Ltd.,+20.32
Ashima Ltd.,+20.25
Mahindra Logistics L,+20.25
Cambridge Technology,+20.24
Jubilant Foodworks L,+20.09
Sunteck Realty Ltd.,+20.08
Ashoka Buildcon Ltd.,+20.07
Deepak Nitrite,+20.06
Mahamaya Steel Indus,+20.01
Jagjanani Textiles L,+20.00
Cinevista L,+20.00
Mangalam Industrial,+20.00
HT Media,+19.97
Gala Global Products,+19.89
Hilton Metal Forging,+19.86
National Plastic,+19.83
Bharat Forge,+19.77
Inox Wind Ltd.,+19.70
TAAL Enterprises,+19.68
