Company,% Change
Sumeru Industries Lt,+4.35
Gammon Infrastructur,+4.35
Steel Cast,+4.33
National Plastic Tec,+4.32
Shristi Infrastructu,+4.32
Polyspin Exports,+4.32
AYM Syntex,+4.32
Gennex Laboratories,+4.31
Utique Enterprises,+4.31
IMP Powers,+4.31
Capfin India,+4.30
Sainik Finance & Ind,+4.30
Rama Paper Mills,+4.29
Veerhealth Care,+4.29
McNally Bharat E,+4.29
Lotus Chocolate,+4.27
Asian Oilfield S,+4.27
Shukra Pharma,+4.26
JaiprakashAssociates,+4.24
Esab India,+4.24
Indo Count Inds.,+4.24
Amco India Ltd.,+4.23
IL&FS Transportation,+4.23
Guj. Leasing Fin,+4.21
Sanco Trans,+4.21
Alchemist Corporatio,+4.21
Modern Dairies,+4.21
Sanghvi Forging & En,+4.19
J. Taparia Projects,+4.17
Madhusudan Indus,+4.17
Atharv Enterprises,+4.17
Emmsons Internat,+4.17
Betex India Ltd.,+4.15
Tree House Education,+4.14
VTM Ltd.,+4.12
IFCI Ltd.,+4.11
Vision Corporation,+4.11
GTL Infrastructure,+4.11
Autolite (I),+4.09
Padmanabh Industries,+4.09
Sakthi Finance,+4.08
Gajra Bevel Gear,+4.05
Neueon Towers,+4.05
ACCEL L,+4.04
Parsvnath Developers,+4.03
Trejhara Solutions L,+4.01
Mohit Paper Mill,+4.01
Ashiana Agro Ind,+4.00
Mewar Hi-Tech Engine,+4.00
Gothi Plascon,+4.00
Luharuka Media & Inf,+4.00
Indsil Hydro Power a,+4.00
Bronze Infra Tech Lt,+4.00
Rohit Ferro-Tech,+3.97
Eris Lifesciences,+3.97
Genus Power Infrastr,+3.96
Adinath Textile,+3.95
Cindrella Hotels,+3.95
Twinstar Industries,+3.95
Talwalkars Better Va,+3.92
SPS Internationa,+3.91
OM Metals Infraproje,+3.87
IRB Infrastructure,+3.87
Excel Realty N Infra,+3.85
Deep Diamond India,+3.85
Sharda Ispat Ltd,+3.84
Shiva Cement Ltd,+3.84
Nishtha Fin. & Inv.,+3.83
Marg Ltd.,+3.82
Oriental Carbon,+3.81
WABCO India,+3.81
Gayatri Projects,+3.81
Lloyds Steels Ind.,+3.80
Majestic Research Se,+3.80
Blue Dart Expres,+3.80
Indag Rubber,+3.79
CG-VAK Software,+3.79
Lehar Footwears,+3.79
Moneyboxx Finance,+3.79
Samtex Fashions,+3.77
Sequent Scientific,+3.77
AGI Infra Ltd.,+3.76
Mahindra Lifespace D,+3.76
National Plywood Ind,+3.76
NPR Finance Limi,+3.75
Alpa Laboratories Lt,+3.74
Banaras Beads Li,+3.73
Kuantum Papers,+3.72
Garnet International,+3.70
Polytex India Lt,+3.70
Winsome Brewerie,+3.69
CreditAccess Grameen,+3.68
I P Rings Ltd.,+3.66
AMJ Land Holdings L,+3.66
HB Portfolio,+3.65
Aditya Birla Money L,+3.65
Advanced Enzyme Tech,+3.63
Anjani Synthetic,+3.59
Great Eastern,+3.58
Commercial Engineers,+3.57
Fine Organic Indus,+3.57
Regency Investments,+3.57
Tamboli Capital,+3.56
Xpro India Ltd.,+3.53
Caprihans India,+3.51
Deccan Health Care,+3.49
Kuwer Industries,+3.49
Narbada Gems & Jewel,+3.46
Essar Shipping,+3.46
Ashari Agencies,+3.45
Cressanda Solutions,+3.45
Kwality Pharmaceutic,+3.45
Pricol L,+3.44
Makers Lab.,+3.43
Automotive Axles,+3.43
Rishabh Digha St,+3.43
B N Rathi Securities,+3.40
Link Pharma Chem,+3.40
White Organic Agro,+3.40
VST Tillers Tr,+3.39
Voltamp Transformers,+3.39
Prakash Wool.& Syn.,+3.38
Balkrishna Paper Mil,+3.38
Centrum Capital,+3.38
JTL Infra L,+3.37
Thiru Arooran,+3.36
Duroply lndustries L,+3.32
Rollatainers Ltd,+3.31
Force Motors,+3.31
Swagruha Infrastruct,+3.30
Sumedha Fiscal S,+3.29
Welspun Specialty,+3.28
Oswal Agro Mills,+3.28
Jaykay Enterprises L,+3.27
Akashdeep Metal Ind.,+3.26
Narayani Steels,+3.23
Vandana Knitwear,+3.23
Gujarat Natural Res,+3.17
Mercator Ltd.,+3.16
Hisar Metal Indu,+3.15
Anupam Finserv,+3.14
India Motor Part,+3.14
Shreyas Shipping & L,+3.12
JCT Ltd.,+3.09
KDDL Ltd.,+3.09
Kopran Ltd,+3.06
APM Finvest,+3.03
PMC Fincorp,+3.03
Tuni Textile Mil,+3.03
Nutraplus India,+3.02
Prime Securities,+3.01
Palash Securities,+3.01
GRM Overseas,+3.00
Alpine Hous.Dev.,+3.00
Arihant Foundat,+2.98
SinclairsHotels,+2.97
Capri Global Capital,+2.97
Xtglobal Infotech,+2.96
Xelpmoc Design and T,+2.96
Max Healthcare Inst.,+2.95
5Paisa Capital,+2.94
Suryachakra Power Co,+2.94
MCX,+2.93
Ashirwad Capital,+2.90
ARC Finance,+2.90
Konndor Industries,+2.90
Mahamaya Steel Indus,+2.89
MSR India,+2.88
Ramsarup Industries,+2.86
Ravi Kumar Distiller,+2.84
Vama Industries Ltd.,+2.84
Finkurve Financial S,+2.84
India Home Loan,+2.82
Trescon L,+2.79
Tasty Dairy Speciali,+2.78
Karuturi Global Ltd.,+2.78
Maha Rashtra Ape,+2.78
Tatia Global Venntur,+2.78
Kkalpana lndustries,+2.76
HUDCO,+2.75
Bothra Metals & Allo,+2.72
GNA Axles,+2.71
Zeal Aqua,+2.71
Dynacons Systems,+2.69
Aegis Logistics Ltd.,+2.69
CRP Risk Management,+2.69
OK Play India Ltd.,+2.68
BGR Energy Systems,+2.66
Grandeur Products,+2.65
Maxheights Infra,+2.64
Pudumjee Paper Produ,+2.64
Anjani Portland,+2.63
PTC Industries,+2.63
Dixon Technologies,+2.63
Chordia Food Product,+2.62
Morarjee Textiles Li,+2.61
Rossari Biotech,+2.59
Kanpur Plasti.,+2.57
ADC India Communicat,+2.57
Kome-on Communic,+2.56
Dhunseri Tea & Indus,+2.56
MEP Infrastructure,+2.56
J L Morison (India),+2.54
Guj. Hotels Ltd.,+2.53
W H Brady & Co.,+2.52
Sampre Nutrition,+2.50
Bampsl Securitie,+2.50
Vivo Bio Tech Ltd.,+2.50
Padmalaya Tele,+2.50
Supreme Inds.,+2.50
Goblin India,+2.49
Innovative Tech,+2.48
Transgene Biotek,+2.48
Upsurge Investme,+2.46
Seamec Ltd.,+2.46
Nila Spaces L,+2.46
India Steel Works Lt,+2.44
Niraj Cement Structu,+2.44
KSK Energy Ventures,+2.44
KPT Industries,+2.44
Sugal & Damani Share,+2.44
Lovable Lingerie Ltd,+2.43
FIEM Industries,+2.42
Somany Ceramics Ltd.,+2.41
Timex Group India,+2.41
Alliance Integrated,+2.38
Jaypee Infratech Ltd,+2.33
The Mandhana Retail,+2.33
Amal Ltd.,+2.33
Ashika Credit Cap.,+2.33
Thomas Cook (I),+2.32
LGB Forge Ltd.,+2.31
Saven Technologies L,+2.30
Stanrose Mafatla,+2.29
Crest Ventures,+2.29
Rico Auto Inds.,+2.28
Everest Kanto Cylind,+2.28
Times Guaranty,+2.28
Expleo Solutions,+2.27
Ester India,+2.27
DFM Foods Limi,+2.26
Tilaknagar Industrie,+2.24
Paul Merchants,+2.23
Kesar Terminals & In,+2.19
Ganesh Benzoplas,+2.19
Spicejet Ltd.,+2.19
Hester Biosciences L,+2.19
Panama Petrochem,+2.17
Manaksia Steels,+2.15
Lakshmi Auto Lm.,+2.14
Piccadily Agro I,+2.13
SVC Industries,+2.13
Kavit Industries,+2.12
Albert David Ltd,+2.11
Bright Brothers,+2.09
Uttam Value Steels,+2.08
Phoenix Intl.,+2.06
